LIMPADOR DESENGORDURANTE AJAX 500ML FR;R$ 3,58 
LIMPADOR DESENGORDURANTE VEJA COZINHA 500ML FR;R$ 6,72 
LIMPADOR LIMPEZA GERAL AJAX FLORES LAVANDA 500ML FR;R$ 3,89 
LIMPADOR LIMPEZA PESADA ORIGINAL VEJA 500ML FR;R$ 3,81 
LIMPADOR MULTI USO ORIGINAL VEJA NEUTRO 500ML FR;R$ 3,31 
LIMPADOR MULTI USO UAU INGLEZA TRADICIONAL 500ML FR;R$ 2,83 
LIMPADOR MULTI USO VEJA X-14 BANHEIRO 500ML FR;R$ 7,20 
ACHOCOLATADO EM PÓ TODDY LIGHT 400G PO;R$ 7,45 
ACHOCOLATADO NESCAU LIGHT 400G LT;R$ 8,05 
Adoçante ASSUGRIN 100ML FR;R$ 2,34 
Adoçante DOCE MENOR 100ML FR;R$ 3,07 
Adoçante FINN C/50EV 0.8G CX;R$ 9,20 
Adoçante FINN CRISTAL 100ML FR;R$ 4,92 
Adoçante GOLD ASPARTAME 65ML FR;R$ 7,97 
Adoçante GOLD ASPARTAME C/50EV 0.8G CX;R$ 6,34 
Adoçante ZERO CAL 100ML FR;R$ 3,74 
Adoçante ZERO CAL 50 ENVELOPES 0,8G PT;R$ 8,63 
PUDIM DE BAUNILHA DR. OETKER DIET 25G CX;R$ 2,50 
PUDIM DE CHOCOLATE ROYAL DIET 35G PCT;R$ 2,19 
REFRESCO DIET CLIGHT SABORES 10G PT;R$ 0,91 
ALIMENTO A BASE DE GLICOSE YOKI 360G VD;R$ 7,22 
CREME DE AVELÃ NUTELLA 200G;R$ 6,24 
DOCE DE LEITE DE CHOCOLATE ITAMBÉ 800G LT;R$ 8,39 
DOCE DE LEITE DE COCO ITAMBÉ 800G LT;R$ 8,60 
DOCE DE LEITE ITAMBÉ 800G LT;R$ 8,60 
GELÉIA DE MORANGO QUEENSBERRY 320G;R$ 11,85 
GOIABADA FUGINI 600G LT;R$ 6,48 
LINGUIÇA CALABRESA COZIDA SADIA 500G PT;R$ 12,81 
LINGUIÇA DE CARNE SUÍNA SADIA 500G PT;R$ 13,13 
LINGÜIÇA PORTUGUESA SADIA 400G PT;R$ 9,80 
PRESUNTO TIPO PARMA SADIA FATIADO 100G PT;R$ 10,85 
SALAME ITALIANO PERDIGÃO FATIADO 100G CT;R$ 6,98 
SALAME ITALIANO SADIA FATIADO 100G CT;R$ 5,99 
SALSICHA DE FRANGO LIGHT VITA LIGHT SADIA 500G PT;R$ 8,90 
SALSICHA DE FRANGO PERDIGÃO 500G PT;R$ 6,53 
SALSICHA HOT DOG PERDIGÃO 500G PT;R$ 6,38 
SALSICHA HOT DOG SADIA 500G PT;R$ 7,31 
ATUM RALADO COQUEIRO 170G LT;R$ 4,60 
ATUM RALADO GOMES DA COSTA 170G LT;R$ 3,96 
ATUM SOLIDO COQUEIRO 170G LT;R$ 5,30 
ATUM SOLIDO GOMES DA COSTA 170G LT;R$ 4,80 
FILÉ DE SARDINHA EM OLÉO GOMES COSTA 125G CX;R$ 6,19 
PATÊ DE ATUM GOMES DA COSTA 150G;R$ 6,37 
SARDINHA EM OLÉO COQUEIRO 130G LT;R$ 3,02 
SARDINHA EM OLÉO GOMES DA COSTA 130G LT;R$ 2,96 
AMENDOIM PINK 500G PT;R$ 7,23 
AMENDOIM YOKI 500G PT;R$ 6,62 
CANJICA BRANCA PINK 500G PT;R$ 2,17 
CANJICA BRANCA YOKI 500G PT;R$ 2,96 
CANJIQUINHA PINK 500G PT;R$ 1,69 
CANJIQUINHA YOKI 500G PT;R$ 2,49 
FARINHA DE MANDIOCA CRUA PINK 1KG PT;R$ 5,77 
FARINHA DE MANDIOCA CRUA YOKI 1KG PT;R$ 4,24 
FARINHA DE MANDIOCA TORRADA PINK 1KG PT;R$ 6,26 
FARINHA DE MANDIOCA TORRADA YOKI 500G PT;R$ 2,99 
FARINHA DE MILHO AMARELA YOKI 500G PT;R$ 2,36 
FARINHA DE MILHO PINK 500G PT;R$ 2,31 
FARINHA DE TRIGO ESPECIAL BOA SORTE 1KG PT;R$ 2,41 
FARINHA DE TRIGO ESPECIAL COM FERM BOA SORTE 1KG PT;R$ 2,35 
FARINHA DE TRIGO ESPECIAL COM FERM VILMA 1KG PT;R$ 2,87 
FARINHA DE TRIGO ESPECIAL DONA BENTA 1KG PT;R$ 2,98 
FARINHA DE TRIGO ESPECIAL FERM DONA BENTA 1KG PT;R$ 3,48 
FARINHA DE TRIGO ESPECIAL VILMA 1KG PT;R$ 2,71 
FAROFA PRONTA DE MANDIOCA YOKI 500G PT;R$ 3,31 
FAROFA PRONTA DE MILHO YOKI 500G PT;R$ 3,88 
FEIJÃO BRANCO PINK 500G PT;R$ 3,88 
FEIJÃO CARIOCA PINK 1KG PT;R$ 7,41 
FEIJÃO CARIOCA TRYUMPHO 1KG PT;R$ 6,77 
FEIJÃO JALO PINK 1KG PT;R$ 8,35 
FEIJÃO JALO TRYUMPHO 1KG PT;R$ 8,14 
FEIJÃO PRETO PINK 1KG PT;R$ 4,72 
FEIJÃO PRETO TRYUMPHO 1KG PT;R$ 4,54 
FUBA PINK 1KG;R$ 1,79 
FUBA SINHA 1KG;R$ 1,67 
LENTILHA YOKI 500G PT;R$ 6,84 
MILHARINA QUAKER 500G PT;R$ 2,68 
MILHO PARA PIPOCA YOKI 500G PT;R$ 2,57 
MISTURA PARA PÃO DE QUEIJO YOKI 250G PT;R$ 3,60 
PIPOCA PARA MICROONDAS NATURAL YOKI 100G PT;R$ 1,59 
POLVILHO AZEDO MARINEZ 1KG PT;R$ 5,98 
POLVILHO AZEDO PINK 1KG PT;R$ 5,74 
POLVILHO DOCE MARINEZ 1KG PT;R$ 5,78 
POLVILHO DOCE PINK 1KG PT;R$ 6,12 
FRALDA PAMPERS SUPERSEC PACOTÃO G C/28 PT;R$ 21,74 
FRALDA PAMPERS SUPERSEC PACOTÃO M C/32 PT;R$ 21,74 
FRALDA PAMPERS SUPERSEC PACOTÃO P C/36 PT;R$ 21,74 
FRALDA TURMA DA MÔNICA TRIPLA PROTEÇÃO SUPER GEL EG C/08 PT;R$ 19,52 
FRALDA TURMA DA MÔNICA TRIPLA PROTEÇÃO SUPER GEL G C/09 PT;R$ 19,52 
FRALDA TURMA DA MÔNICA TRIPLA PROTEÇÃO SUPER GEL M C/10 PT;R$ 19,52 
FRALDA TURMA DA MÔNICA TRIPLA PROTEÇÃO SUPER GEL P C/11 PT;R$ 19,52 
ABACAXI UN;R$ 6,40 
BANANA PRATA KG;R$ 4,72 
LARANJA PERA KG;R$ 2,08 
LIMÃO TAHITI KG;R$ 2,19 
MAÇÃ NACIONAL VERMELHA FUJI ESP KG;R$ 6,12 
MAMAO FORMOSA KG;R$ 3,57 
MAMAO HAVAI KG;R$ 3,96 
MANGA HADEM KG;R$ 12,44 
MELANCIA KG;R$ 1,50 
MELAO KG;R$ 3,39 
CREME ANTI RUGAS NIVEA VISAGE Q10 NOTURNO 49G PO;R$ 47,96 
CREME DE TRATAMENTO SEDA KERAFORCE 450G PO;R$ 8,00 
GEL FIXADOR BOZZANO AZUL 300G PO;R$ 9,53 
LEITE DE ROSAS 170ML FR;R$ 4,24 
LEITE HIDRATANTE AVEIA DAVENE CLASSIC 180ML FR;R$ 5,73 
LEITE HIDRATANTE CORPO A CORPO NATURAL 200ML FR;R$ 4,56 
LEITE HIDRATANTE MONANGE FINAL FANTASTIC 200ML FR;R$ 5,67 
